ASV_numbers,domain,phylum,class,order,family,genus,species
ASV_183,Eukaryota,Ascomycota,NA,Diaporthales,Valsaceae,Cytospora,NA
ASV_184,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_sp
ASV_185,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_186,Eukaryota,Ascomycota,NA,Pleosporales,Didymellaceae,NA,NA
ASV_187,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,NA
ASV_188,Eukaryota,Basidiomycota,NA,Cantharellales,Hydnaceae,Clavulina,Clavulina_rugosa
ASV_189,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,Russula_raoultii
ASV_190,Eukaryota,NA,NA,NA,NA,NA,NA
ASV_191,Eukaryota,Ascomycota,NA,Hypocreales,Hypocreaceae,Trichoderma,NA
ASV_192,Eukaryota,Basidiomycota,NA,Atheliales,Tylosporaceae,Amphinema,NA
ASV_193,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inosperma,Inosperma_vinaceum
ASV_194,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_195,Eukaryota,Ascomycota,NA,Chaetothyriales,Chaetothyriales_fam_Incertae_sedis,Chaetothyriales_gen_Incertae_sedis,Chaetothyriales_sp
ASV_196,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_197,Eukaryota,Ascomycota,NA,Hypocreales,Hypocreaceae,Trichoderma,NA
ASV_198,Eukaryota,Basidiomycota,NA,Agaricales,NA,NA,NA
ASV_199,Eukaryota,Basidiomycota,NA,Agaricales,Amanitaceae,Amanita,NA
ASV_200,Eukaryota,Basidiomycota,NA,Agaricales,NA,NA,NA
ASV_201,Eukaryota,Ascomycota,NA,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_sp
ASV_202,Eukaryota,Basidiomycota,NA,Atheliales,NA,NA,NA
ASV_203,Eukaryota,Basidiomycota,NA,Agaricales,Cortinariaceae,Cortinarius,NA
ASV_204,Eukaryota,Ascomycota,NA,Helotiales,Leotiaceae,Leotia,NA
ASV_205,Eukaryota,Basidiomycota,NA,Cantharellales,Hydnaceae,Clavulina,Clavulina_sp
ASV_206,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_207,Eukaryota,Basidiomycota,NA,Agaricales,Mycenaceae,Mycena,Mycena_pelianthina
ASV_208,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_209,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,Russula_ionochlora
ASV_210,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Lactarius,NA
ASV_211,Eukaryota,Basidiomycota,NA,Cantharellales,Hydnaceae,Hydnum,Hydnum_vesterholtii
ASV_212,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_sp
ASV_213,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,NA
ASV_214,Eukaryota,Ascomycota,NA,Pleosporales,Melanommataceae,Pleotrichocladium,Pleotrichocladium_opacum
ASV_215,Eukaryota,Ascomycota,NA,Eurotiales,Elaphomycetaceae,Elaphomyces,Elaphomyces_sp
ASV_216,Eukaryota,Basidiomycota,NA,Cantharellales,Hydnaceae,Clavulina,Clavulina_sp
ASV_217,Eukaryota,Basidiomycota,NA,Agaricales,Hydnangiaceae,Laccaria,NA
ASV_218,Eukaryota,Ascomycota,NA,Helotiales,Dermateaceae,Cryptosporiopsis,Cryptosporiopsis_sp
ASV_219,Eukaryota,Mortierellomycota,NA,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp
ASV_220,Eukaryota,Ascomycota,NA,Chaetothyriales,Herpotrichiellaceae,NA,NA
ASV_221,Eukaryota,Basidiomycota,NA,Thelephorales,Thelephoraceae,NA,NA
ASV_222,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_fuscidula
ASV_223,Eukaryota,Ascomycota,NA,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Saccharomycetales_gen_Incertae_sedis,Saccharomycetales_sp
ASV_224,Eukaryota,Basidiomycota,NA,Agaricales,Cortinariaceae,Cortinarius,NA
ASV_225,Eukaryota,Basidiomycota,NA,Agaricales,Cortinariaceae,Cortinarius,NA
ASV_226,Eukaryota,Ascomycota,NA,Mycosphaerellales,Mycosphaerellaceae,Ramularia,NA
ASV_227,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_228,Eukaryota,Mortierellomycota,NA,Mortierellales,Mortierellaceae,NA,NA
ASV_229,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_230,Eukaryota,Ascomycota,NA,Chaetosphaeriales,Chaetosphaeriaceae,Chloridium,NA
ASV_231,Eukaryota,Ascomycota,NA,Venturiales,Cylindrosympodiaceae,Cylindrosympodium,Cylindrosympodium_sp
ASV_232,Eukaryota,Basidiomycota,NA,Atheliales,Pilodermataceae,Piloderma,Piloderma_sp
ASV_233,Eukaryota,Ascomycota,NA,Eurotiales,Aspergillaceae,Penicillium,NA
ASV_234,Eukaryota,Basidiomycota,NA,Agaricales,Hydnangiaceae,Laccaria,Laccaria_sp
ASV_235,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Lactarius,Lactarius_rubrocinctus
ASV_236,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Pseudosperma,Pseudosperma_amabile
