,SPY213303,SPY213304,SPY213305,SPY213306,SPY213307,SPY213308,SPY213309,SPY213310,SPY213311,SPY213312,SPY213313,SPY213314,SPY213315,SPY213316,SPY213317,SPY213318,SPY213319,SPY213320,SPY213321,SPY213323,SPY213324,SPY213325,SPY213326,SPY213327,SPY213328,SPY213329,SPY213330,SPY213331,SPY213332,SPY213333,SPY213334,SPY213335,SPY213336,SPY213337,SPY213338,SPY213339,SPY213340,SPY213341,SPY213342,SPY213343,SPY213344,SPY213345,SPY213346,SPY213347,SPY213348,SPY213349,SPY213350,SPY213351
ASV_35,0,0,240,0,0,0,5,0,82,48,0,2823,92,0,0,778,137,319,191,156,829,864,1178,139,943,183,1437,10127,216,1371,332,0,0,0,0,0,0,0,0,0,167,0,0,131,0,50,51,0
ASV_36,0,0,0,0,0,0,1489,134,476,31,1279,631,845,131,2616,1488,646,693,35,66,543,424,29,13,47,31,4,5,0,0,0,40,0,0,0,0,0,906,0,0,102,1101,53,2965,2369,1565,1705,186
ASV_37,0,0,0,0,0,0,0,684,1367,0,297,1700,823,0,0,295,0,0,71,0,0,0,244,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15787,835,0,0
ASV_38,1145,622,862,237,373,2298,253,304,18,201,200,454,1215,391,47,19,73,405,326,612,531,60,39,96,227,71,39,142,32,29,0,37,147,614,508,141,41,99,69,1029,370,1696,4705,49,254,121,225,229
ASV_39,0,78,43,90,241,0,336,377,1351,0,24,0,0,133,0,0,184,1200,1093,0,0,130,528,29,9113,3753,479,17,1230,797,129,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_40,0,1637,147,0,524,57,0,0,0,125,2087,0,61,0,0,3001,74,0,0,0,77,0,0,0,0,41,0,0,75,0,0,0,0,0,0,0,0,0,0,18,1075,41,7013,0,0,0,2608,2658
ASV_41,382,257,248,262,558,1016,400,374,269,0,0,26,39,433,30,784,46,733,759,70,43,93,366,2232,592,596,643,1142,601,851,150,803,793,1219,581,389,632,147,82,602,89,121,404,224,234,231,290,73
ASV_42,1111,407,127,258,250,997,100,377,99,72,298,299,134,1240,334,313,94,422,368,1051,1156,46,0,0,81,0,0,60,0,0,0,51,52,1362,614,623,644,122,18,294,624,2172,3479,22,763,23,35,73
ASV_43,2397,136,1411,287,0,403,0,0,47,0,0,1628,0,0,0,0,0,0,0,102,61,0,798,515,113,72,41,173,1472,141,2368,1772,531,2282,0,745,1032,0,0,0,0,0,111,0,0,0,812,841
ASV_44,0,0,8,0,0,0,0,0,0,3265,1585,0,0,59,0,8015,331,89,21,0,363,310,0,0,0,0,0,4,0,0,0,0,1462,9,0,0,8,62,0,0,425,1194,662,0,0,0,450,438
