,Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species
ASV_4102,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4103,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4104,NA,NA,NA,NA,NA,NA,NA,NA
ASV_4105,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4106,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4107,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4108,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Urostylidae,Urostyla
ASV_4109,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4110,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4111,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4112,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4113,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4114,NA,NA,NA,NA,NA,NA,NA,NA
ASV_4115,Eukaryota,Obazoa,Opisthokonta,Metazoa,Nematoda,Enoplea,Enoplea_X,NA
ASV_4116,Eukaryota,TSAR,NA,NA,NA,NA,NA,NA
ASV_4117,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4118,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4119,Eukaryota,Obazoa,Opisthokonta,Fungi,Zoopagomycota,Kickxellomycotina,Harpellales,Smittium
ASV_4120,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4121,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4122,NA,NA,NA,NA,NA,NA,NA,NA
ASV_4123,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4124,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4125,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,Tricladium
ASV_4126,Eukaryota,Obazoa,Opisthokonta,Metazoa,NA,NA,NA,NA
ASV_4127,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4128,NA,NA,NA,NA,NA,NA,NA,NA
ASV_4129,Eukaryota,NA,NA,NA,NA,NA,NA,NA
ASV_4130,NA,NA,NA,NA,NA,NA,NA,NA
ASV_4131,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,NA,NA,NA
ASV_4132,NA,NA,NA,NA,NA,NA,NA,NA
